state,raw,canonical,
"# searchable format"") — 80+ distinct raw values", many one-off typos/garbage,,
"# (e.g. ""Ms 's alabamaasa"""," a bare first name ""Robert""). Only values covering",,
# the bulk of rows (top ~15, >99% of the 95,800 contributions) are mapped;,
# the long tail of rare variants is left unmapped rather than guessed.,,,
MS,Individual,Individual,
MS,individual,Individual,
MS,Ind,Individual,
MS,Corporation,Organization,
MS,Corp,Organization,
MS,PAC,PAC,
MS,Pac,PAC,
MS,Political Committee (PAC),PAC,
MS,LimitedLiabilityCompany,Organization,
MS,Limited Liability Company,Organization,
MS,Limited Liability Corp,Organization,
MS,LLC,Organization,
MS,LLP,Organization,
MS,PLLC,Organization,
MS,PC,Organization,
MS,PA,Organization,
MS,P.A.,Organization,
MS,LP,Organization,
MS,Limited Partnership,Organization,
MS,Partnership,Organization,
MS,Business,Organization,
MS,Association,Organization,
MS,Campaign Committee,Candidate Committee,
"# ""Loan""/""In Kind""/""(See PDF Image)""/""Undefined""/""Other"" describe the",,,
# transaction, not who the contributor is — not a contributor category,,
MS,Loan,,
MS,In Kind,,
MS,In-Kind,,
MS,In Kind Contribution,,
MS,(See PDF Image),,
MS,Undefined,,
MS,Other,,
# == Pennsylvania =================================================================,,,
# PA DOS's contrib.txt has no contributor-type field at all (individual vs.,,,
# PAC vs. party committee etc. isn't distinguished in the source) — parser,,,
# leaves contributor_type blank for all PA contributions (0.0% fill, expected,,
# by design, not a bug). Nothing to map here.,,
# == Montana ===================================================================,,,
"# CERS ""Contribution Type"" is a numeric code (1-9) describing the source of",,,
# the money on the C5/C6/C4 periodic schedule export. Codes 2 (Unitemized),,,
# and 3 (Loans) don't map cleanly onto the canonical contributor_type,,,
# vocabulary (a loan isn't a donor category) — left unmapped rather than,,,
"# guessed. C7 last-minute-notice rows use ""Individual""/""Committee""/""Loan""",,,
# instead (derived by the parser from which API sub-list a row came from,,,
"# not a raw CERS field) — ""Loan"" is left unmapped there too", for the same,,
# reason.,,,
MT,1,Candidate,
MT,2,,
MT,3,,
MT,4,Other,
MT,5,PAC,
MT,6,Party,
MT,7,Committee,
MT,8,Committee,
MT,9,Individual,
MT,Individual,Individual,
MT,Committee,Committee,
MT,Loan,,
# == Ohio ======================================================================,,,
# Derived by the parser from which of the individual name fields (FIRST_NAME/,,,
# LAST_NAME/etc) or NON_INDIVIDUAL is populated on each row — not a raw source,,,
# column, so these two values are the parser's own vocabulary.,,
OH,Individual,Individual,
OH,Non-Individual,Organization,
# == New Hampshire =============================================================,,,
"# NH contributor_type comes from the CFS export's ""Contributor Type"" column",,,
# (receipts only -- expenditures has no equivalent field on the payee side).,,,
NH,Individual / Candidate,Individual,
NH,Self,Individual,
NH,Business/ Group / Organization,Organization,
NH,Political Committee,PAC,
NH,Candidate Committee,Candidate Committee,
# == Washington =================================================================,,,
"# WA's contributor_type is the ""code"" field on the contributions dataset —",,,
# already human-readable text (not the single-letter codes PDC's own field,,,
# documentation describes). Only values actually observed in the live data,,,
# are listed; Other/Caucus/Low-cost Fundraiser don't map cleanly onto the,,,
# Individual/Organization/PAC/Party/Candidate vocabulary and are left blank,,,
# (same convention as AL's Other/Returned/In-Kind rows above).,,,
WA,Individual,Individual,
WA,Business,Organization,
WA,Union,Organization,
WA,Political Action Committee,PAC,
WA,Party,Party,
WA,Self,Candidate,
WA,Other,,
WA,Caucus,,
WA,Low-cost Fundraiser,,
# == Tennessee =================================================================,,,
"# TNCAMP's contribution export has no contributor-type column at all, so",,,
# parsers/tennessee.py writes contributor_type blank on every row and there is,,,
# nothing to map here. Left as a comment rather than omitted so the next person,,,
# checking 'why has TN got no entries' finds the answer in the file itself.,,,
# == New York ==================================================================,,,
# NYSBOE's cntrbr_type_desc. All 14 values observed in the live disclosure,,,
# dataset are listed.,,,
NY,Individual,Individual,
NY,Candidate/Candidate Spouse,Candidate,
NY,Candidate Family Member,Individual,
NY,Corporation,Organization,
NY,Partnership including LLPs,Organization,
NY,Professional/Limited Liability Company (PLLC/LLC),Organization,
NY,Sole Proprietorship,Organization,
NY,Association,Organization,
NY,Union,Organization,
NY,Political Action Committee (PAC),PAC,
NY,Political Committee,PAC,
NY,Committee,Committee,
"# 'Unitemized' is an itemization status, not a contributor type (the aggregate",,,
"# row for everything under NY's itemization threshold), and 'Other' is exactly",,,
"# as unspecific as it sounds — both left blank rather than guessed, same",,,
# convention as AL's Other/Returned rows above.,,,
NY,Unitemized,,
NY,Other,,
# == Texas =====================================================================,,,
# TEC records only whether the other party to a transaction is a person or an,,,
"# organization (contributorPersentTypeCd), with one extra flag for out-of-state",,,
# PACs (contributorOosPacFlag) that parsers/texas.py folds into the same column.,,,
"# There is no finer contributor taxonomy in the source — a corporation, a union",,,
# and an in-state PAC are all just ENTITY.,,,
TX,INDIVIDUAL,Individual,
TX,ENTITY,Organization,
TX,OUT_OF_STATE_PAC,PAC,
# == Wyoming ====================================================================,,,
# contributor_type is authoritative for most rows: the scraper downloads a
# supplementary export per "Source of Contribution" filter category from the
# site's search form (12 values, matched back to contributions_all.csv rows by
# full row tuple — see parsers/wyoming.py). These 12 rows map those raw labels.,,,
WY,CANDIDATE COMMITTEE,Candidate Committee,
WY,CORPORATION,Organization,
WY,FEDERAL/OUT-OF-STATE PAC,PAC,
WY,IMMEDIATE FAMILY / PERSONAL,Individual,
WY,INDIVIDUAL,Individual,
WY,NATIONAL PARTY,Party,
WY,ORGANIZATION,Organization,
WY,OUT OF STATE PARTY,Party,
WY,WYOMING COUNTY PAC,PAC,
WY,WYOMING COUNTY PARTY,Party,
WY,WYOMING PAC,PAC,
WY,WYOMING STATE PARTY,Party,
# Rows the site itself never assigns a Source of Contribution category to
# (ANONYMOUS / UN-ITEMIZED — no contributor name at all, ~5,300 of ~445,000
# rows) fall back to a parser-side name-string heuristic. These two rows are
# a pass-through for that fallback, not a source-provided taxonomy.,,,
WY,Individual,Individual,
WY,Organization,Organization,
# == Virginia ==================================================================,,,
# VA's contributor_type is derived by the parser from the IsIndividual boolean,,,
# on each Schedule A/B/C row — not a raw source column, so this is an identity,,
# mapping (same pattern as Ohio's Individual/Non-Individual note above).,,,
VA,Individual,Individual,
VA,Organization,Organization,
# == Oregon ====================================================================,,,
# contributor_type is ORESTAR's raw Book Type field.,,,
OR,Individual,Individual,
OR,Business Entity,Organization,
OR,Labor Organization,Organization,
OR,Political Committee,PAC,
OR,Political Party Committee,Party Committee,
"# ""Unregistered Committee"" = an out-of-state or otherwise not-Oregon-registered",,,
# committee -- distinct from a real registered PAC.,,,
OR,Unregistered Committee,Committee,
# Two raw spellings for the same category, both seen in real data -- ORESTAR,,,
# used different wording in different eras.,,,
OR,Candidate & Immediate Family,Candidate,
OR,Candidate's Immediate Family,Candidate,
OR,Other,,
# == Wisconsin ==================================================================,,,
WI,Individual,Individual,
WI,Business,Organization,
WI,Business / Corporation,Organization,
WI,Corporation,Organization,
WI,Labor Organization,Organization,
WI,Conduit,PAC,
WI,Committee,Committee,
"# ""Registrant"" only says the counterparty is itself a WI filer — it could be a",,,
"# candidate committee, a party, a PAC or a conduit. Left blank rather than guessed;",,,
# committee_type on the committees table is where that distinction lives.,,,
WI,Registrant,,
# == New Mexico ==============================================================,,,
# Contributor Code (column V). Values below are the complete set observed,,,
"# across 2020-2026, with counts. The layout key's enumeration (Self,",,,
"# Individual, Political Committee, Other, Lobbying Organization) is wrong on",,,
"# two of five: there is no 'Self', and 'Other' is spelled out in full.",,,
NM,Individual,Individual,
NM,Other (e.g. business entity),Organization,
NM,Political Committee,PAC,
NM,Candidate/Officeholder,Candidate,
NM,Candidate,Candidate,
NM,Lobbying Organization,Organization,
# One stray row carries the literal 'Committee' -- too vague to place,,,
"# between a PAC and a party committee, so left unmapped.",,,
NM,Committee,,
# MEC's contribution export has no raw contributor-type field of its own --
# these three are synthesized by the parser itself (Contributor-Committee
# transfer flag = Yes -> Committee; Contributor-Company present -> Business;
# otherwise Contributor-First/Last Name -> Individual) and mapped here like any
# other state's raw value would be.
MO,Individual,Individual,
MO,Business,Organization,
MO,Committee,Committee,

# == Vermont ===================================================================,,,
"# Contributor Type. Distinct values counted across the real 2014-2026 exports;",,,
# blank on ~69% of rows (sub-threshold contributions carry no contributor).,,,
VT,Individual,Individual,
VT,Self,Individual,
# A candidate contributing or lending to their own campaign. Still a person.,,,
VT,Candidate,Individual,
VT,Business/Group/Organization,Organization,
VT,PAC,PAC,
VT,Political Action Committee,PAC,
VT,IE-Only PAC,PAC,
VT,Legislative Leadership PAC,PAC,
VT,Political Party,Party,
VT,Political Party Committee,Party Committee,
VT,Public Question Committee,Committee,
